,rank,DC Nodes,DC,BC Nodes,BC,CC Nodes,CC
0,1,Stratford,0.0225,Stratford,0.2978457823852558,Green Park,0.11477761836441894
1,2,Bank and Monument,0.02,Bank and Monument,0.29048946048382196,Bank and Monument,0.1135718341851221
2,3,King's Cross St. Pancras,0.0175,Liverpool Street,0.2708068552514041,King's Cross St. Pancras,0.11344299489506524
3,4,Baker Street,0.0175,King's Cross St. Pancras,0.2553072865243914,Westminster,0.11254924029262803
4,5,Earl's Court,0.015,Waterloo,0.2439208311181996,Waterloo,0.11226494527083918
5,6,Oxford Circus,0.015,Green Park,0.21583486358392392,Oxford Circus,0.11120378092855157
6,7,Liverpool Street,0.015,Euston,0.20832425399718643,Bond Street,0.11098779134295228
7,8,Waterloo,0.015,Westminster,0.2033352871717533,Farringdon,0.11074197120708748
8,9,Green Park,0.015,Baker Street,0.19156776455930646,Angel,0.11074197120708748
9,10,Canning Town,0.015,Finchley Road,0.165084686825288,Moorgate,0.11031439602868175
