,Order,DC Seq,DC,BC Seq,BC,CC Seq,CC
0,1,Stratford,0.0225,Stratford,0.2978457823852558,Green Park,0.11477761836441894
1,2,Bank and Monument,0.020050125313283207,King's Cross St. Pancras,0.2472624217551865,King's Cross St. Pancras,0.11236271472824556
2,3,Baker Street,0.017587939698492462,Waterloo,0.25417997746403626,Waterloo,0.1046542203523534
3,4,King's Cross St. Pancras,0.017632241813602016,Bank and Monument,0.21465090713621304,Bank and Monument,0.09742331288343559
4,5,Earl's Court,0.015151515151515152,Canada Water,0.24490271917487122,West Hampstead,0.08173374613003095
5,6,Green Park,0.01518987341772152,West Hampstead,0.4568311797721293,Canada Water,0.07597614925947298
6,7,Canning Town,0.015228426395939085,Earl's Court,0.09618165819002801,Stratford,0.0637317773723287
7,8,Willesden Junction,0.012722646310432571,Shepherd's Bush,0.1288521345773255,Earl's Court,0.06364466101439217
8,9,Turnham Green,0.012755102040816325,Euston,0.08707516080135841,Shepherd's Bush,0.06043437204910292
9,10,Oxford Circus,0.012787723785166242,Baker Street,0.09843705598181302,Oxford Circus,0.05050144516038999
