,rank,BC Topo Nodes,BC Topo,BC Weighted Nodes,BC Weighted
0,1,Stratford,0.2978457823852558,West Hampstead,0.3559085213032582
1,2,Bank and Monument,0.29048946048382196,Gospel Oak,0.2750250626566416
2,3,Liverpool Street,0.2708068552514041,Finchley Road & Frognal,0.2687468671679198
3,4,King's Cross St. Pancras,0.2553072865243914,Hampstead Heath,0.26781954887218046
4,5,Waterloo,0.2439208311181996,Willesden Junction,0.24018170426065164
5,6,Green Park,0.21583486358392392,Leicester Square,0.21425751879699248
6,7,Euston,0.20832425399718643,Brondesbury,0.20709273182957394
7,8,Westminster,0.2033352871717533,Brondesbury Park,0.20565789473684212
8,9,Baker Street,0.19156776455930646,Kensal Rise,0.2042575187969925
9,10,Finchley Road,0.165084686825288,Blackhorse Road,0.20165100250626566
